Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
,,Chroicocephalus philadelphia,Bonaparte’s Gull,Gaviota de Bonaparte,A,NA
,,Chroicocephalus cirrocephalus,Gray-hooded Gull,Gaviota Cabecigris,A,NA
,,Leucophaeus modestus,Gray Gull,Gaviota Torero,A,NA
,,Leucophaeus atricilla,Laughing Gull,Gaviota Reidora,M,Laughing Gull
,,Leucophaeus pipixcan,Franklin's Gull,Gaviota de Franklin,M,NA
,,Larus heermanni,Heermann's Gull,Gaviota de Heermann,A- SC,NA
,,Larus delawarensis,Ring-billed Gull,Gaviota Piquianillada,M,NA
,,Larus occidentalis,Western Gull,Gaviota Occidental,A,NA
,,Larus californicus,California Gull,Gaviota Californiana,A,NA
,,Larus argentatus,Herring Gull,Gaviota Argéntea,M,NA
,,Larus marinus,Great Black-backed Gull,Gavión Atlántico,A,NA
,,Larus dominicanus,Kelp Gull,Gaviota Cocinera,A,NA
,,Anous stolidus,Brown Noddy,Tiñosa Común (Charrán Negro),R,NA
,,Anous minutus,Black Noddy,Tiñosa Negra (Charrán Negro Pequeño),R,NA
,,Gygis alba,White Tern,Charrán Blanco (Palomita del Espíritu Santo),R,NA
,,Onychoprion fuscatus,Sooty Tern,Charrán Sombrío,M,NA
,,Onychoprion anaethetus,Bridled Tern,Charrán Embridado,"RR, M",NA
,,Sternula  antillarum,Least Tern,Charrán Chico,M,NA
,,Sternula superciliaris,Yellow-billed Tern,Charrán Piquiamarillo,A,NA
,,Phaetusa simplex,Large-billed Tern,Charrán Picudo (Charrán de Río),A,NA
,,Gelochelidon nilotica,Gull-billed Tern,Charrán Piquinegro,M,NA
,,Hydroprogne caspia,Caspian Tern,Pagaza Mayor,M,NA
,,Larosterna inca,Inca Tern,Charrán Inca,A,NA
,,Chlidonias niger,Black Tern,Charrancito Negro,M,Black Tern
,,Sterna dougallii,Roseate Tern,Charrán Rosado,A,NA
,,Sterna hirundo,Common Tern,Charrán Común,M,Common Tern
,,Sterna paradisaea,Arctic Tern,Charrán Viajero,M?,NA
,,Sterna forsteri,Forster's Tern,Charrán de Forster,M,NA
,,Thalasseus maximus,Royal Tern,Pagaza Real,M,Royal Tern
,,Thalasseus sandvicensis,Sandwich Tern,Pagaza Puntiamarilla,M,Sandwich Tern
,,Thalasseus elegans,Elegant Tern,Pagaza Elegante,M,Elegant Tern
,,Rynchops niger,Black Skimmer,Rayador Negro,M,NA
Eurypygiformes,,,,,,NA
,Eurypygidae,,,,,NA
,,Eurypyga helias,Sunbittern,"Garza del Sol (Sol y Luna, Ave Canasta)",R,Sunbittern
Phaethontiformes,,,,,,NA
,Phaethontidae,,,,,NA
,,Phaethon lepturus,White-tailed Tropicbird,Rabijunco Cola Blanca,A,NA
,,Phaethon aethereus,Red-billed Tropicbird,Rabijunco Piquirrojo,M,NA
,,Phaethon rubricauda,Red-tailed Tropicbird,Rabijunco Cola Roja,A,NA
Procellariiformes,,,,,,NA
,Diomedeidae,,,,,NA
,,Phoebastria irrorata,Waved Albatross,Albatros de Galápagos+E333,A,NA
,Oceanitidae,,,,,NA
,,Oceanites oceanicus,Wilson's Storm-Petrel,Paiño de Wilson,M- SC,NA
,,Pelagodroma marina,White-faced Storm-Petrel,Paiño Pechialbo,M- SC,NA
,Hydrobatidae,,,,,NA
,,Hydrobates leucorhous,Leach's Storm-Petrel,Paiño de Leach,M,NA
,,Hydrobates castro,Band-rumped Storm-Petrel,Paiño Rabifajeado,A- SC,NA
,,Hydrobates tethys,Wedge-rumped Storm-Petrel,Paiño Danzarin,M,NA
,,Hydrobates melania,Black Storm-Petrel,Paiño Negro,M,NA
,,Hydrobates markhami,Markham's Storm-Petrel,Paiño de Markham,M,NA
,,Hydrobates microsoma,Least Storm-Petrel,Paiño Menudo,M,NA
,Procellariidae,,,,,NA
,,Pterodroma hasitata,Black-capped Petrel,Petrel Gorrinegro,A- SC,NA
,,Pterodroma phaeopygia,Galapagos Petrel,Petrel Lomioscuro,A,NA
,,Pseudobulweria rostrata,Tahiti Petrel,Petrel de Tahiti,M,NA
,,Procellaria parkinsoni,Parkinson’s Petrel,Petrel de Parkinson,M,NA
,,Calonectris diomedea,Cory's Shearwater,Pardela Cenicienta,A,NA
,,Ardenna pacifica,Wedge-tailed Shearwater,Pardela Colicuña,M,NA
,,Ardenna tenuirostris,Short-tailed Shearwater,Pardela Colicorta,M?- SC,NA
,,Ardenna grisea,Sooty Shearwater,Pardela Sombría,M,NA
,,Ardenna gravis,Great Shearwater,Pardela Mayor,A,NA
,,Ardenna creatopus,Pink-footed Shearwater,Pardela Blanca Común,M,NA
,,Puffinus nativitatis,Christmas Shearwater,Pardela de Navidad,A,NA
,,Puffinus subalaris,Galapagos Shearwater,Pardela de las Galápagos,M,NA
,,Puffinus puffinus,Manx Shearwater,Pardela Manx,A- SC,NA
,,Puffinus opisthomelas,Black-vented Shearwater,Pardela Culinegra,A,NA
,,Puffinus lherminieri,Audubon’s Shearwater,Pardela de Audubon,M,NA
Ciconiiformes,,,,,,NA
,Ciconiidae,,,,,NA
,,Ciconia maguari,Maguari Stork,Cigüeña Maguari,A,NA
